"filename", "language", "C++", "Dart", "JSON", "Markdown", "Swift", "HTML", "YAML", "XML", "Properties", "Gradle", "comment", "blank", "total"
"g:\flutter_projects\e_learning\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"g:\flutter_projects\e_learning\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 22, 4, 29
"g:\flutter_projects\e_learning\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"g:\flutter_projects\e_learning\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"g:\flutter_projects\e_learning\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 11, 1, 47
"g:\flutter_projects\e_learning\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\flutter_projects\e_learning\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"g:\flutter_projects\e_learning\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\flutter_projects\e_learning\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"g:\flutter_projects\e_learning\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"g:\flutter_projects\e_learning\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"g:\flutter_projects\e_learning\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"g:\flutter_projects\e_learning\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"g:\flutter_projects\e_learning\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"g:\flutter_projects\e_learning\assets\images\Learning-bro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\flutter_projects\e_learning\assets\images\Maestro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"g:\flutter_projects\e_learning\assets\images\Mastercard.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"g:\flutter_projects\e_learning\assets\images\Onlinelearning-amico.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\flutter_projects\e_learning\assets\images\PayPal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"g:\flutter_projects\e_learning\assets\images\Visa.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"g:\flutter_projects\e_learning\assets\images\Webinar-rafiki.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"g:\flutter_projects\e_learning\assets\images\book.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\book_color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\certificate_color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"g:\flutter_projects\e_learning\assets\images\certification.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"g:\flutter_projects\e_learning\assets\images\check.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"g:\flutter_projects\e_learning\assets\images\dollar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"g:\flutter_projects\e_learning\assets\images\done.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"g:\flutter_projects\e_learning\assets\images\donePicture.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 1, 97
"g:\flutter_projects\e_learning\assets\images\done_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"g:\flutter_projects\e_learning\assets\images\easypaisa.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"g:\flutter_projects\e_learning\assets\images\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\facebook_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"g:\flutter_projects\e_learning\assets\images\google_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"g:\flutter_projects\e_learning\assets\images\help.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\imageSvg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"g:\flutter_projects\e_learning\assets\images\jazz_cash.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3685, 0, 0, 0, 0, 3685
"g:\flutter_projects\e_learning\assets\images\like.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"g:\flutter_projects\e_learning\assets\images\logo copy.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"g:\flutter_projects\e_learning\assets\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"g:\flutter_projects\e_learning\assets\images\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"g:\flutter_projects\e_learning\assets\images\myCertificates.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\payment.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\playButton.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\time_color.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\un_done_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"g:\flutter_projects\e_learning\assets\images\unlock.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"g:\flutter_projects\e_learning\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"g:\flutter_projects\e_learning\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"g:\flutter_projects\e_learning\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"g:\flutter_projects\e_learning\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"g:\flutter_projects\e_learning\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"g:\flutter_projects\e_learning\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"g:\flutter_projects\e_learning\lib\common\helpers\push_with_slide_transition.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"g:\flutter_projects\e_learning\lib\common\models\item_model.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"g:\flutter_projects\e_learning\lib\common\routing\app_routes.dart", "Dart", 0, 157, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 161
"g:\flutter_projects\e_learning\lib\common\utils\app_colors.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"g:\flutter_projects\e_learning\lib\common\utils\app_styles.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22, 154
"g:\flutter_projects\e_learning\lib\common\utils\assets.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 102, 53, 209
"g:\flutter_projects\e_learning\lib\common\widgets\custom_app_bar.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"g:\flutter_projects\e_learning\lib\common\widgets\custom_button.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"g:\flutter_projects\e_learning\lib\common\widgets\custom_item_builder.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 33
"g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"g:\flutter_projects\e_learning\lib\common\widgets\custom_text_button_builder.dart", "Dart", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 161
"g:\flutter_projects\e_learning\lib\common\widgets\custom_text_form_field.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 102
"g:\flutter_projects\e_learning\lib\common\widgets\skills_content.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"g:\flutter_projects\e_learning\lib\common\widgets\underline_text.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"g:\flutter_projects\e_learning\lib\features\auth\ui\views\reset_password_view.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_in_view.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"g:\flutter_projects\e_learning\lib\features\auth\ui\views\sign_up_view.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"g:\flutter_projects\e_learning\lib\features\auth\ui\views\unlock_view.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\confirm_password_text_form.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\custom_divider.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\forget_password.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\full_name_text_field.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\head_text.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\new_password_text_form.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\save_button.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_buttons.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_email_text_field.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_here.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_hint_text.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_password_text_field.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_text_button.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_facebook.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_in_with_google.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_button.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_confirm_password_text_field.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_email_text_field.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_here.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_password_text_field.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_facebook.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\auth\ui\widgets\sign_up_with_google.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"g:\flutter_projects\e_learning\lib\features\intro\data\models\page_model.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"g:\flutter_projects\e_learning\lib\features\intro\ui\views\on_boarding_view.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 93
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\body_widget.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\buttons_column.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\page_view_body.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"g:\flutter_projects\e_learning\lib\features\intro\ui\widgets\title_widget.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"g:\flutter_projects\e_learning\lib\features\layout\home\cubit\categories_cubit.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"g:\flutter_projects\e_learning\lib\features\layout\home\cubit\categories_cubit_state.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"g:\flutter_projects\e_learning\lib\features\layout\home\data\models\course_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"g:\flutter_projects\e_learning\lib\features\layout\home\data\models\notifications_model.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"g:\flutter_projects\e_learning\lib\features\layout\home\data\view_model\home_view_model.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 149
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\home_view.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\layout_view.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\views\notifications_view.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_head_title.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_items.dart", "Dart", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\categories_section.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\category_item.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_channel_name.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_image.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"g:\flutter_projects\e_learning\lib\features\layout\home\ui\widgets\continue_watching_course_progress.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
